"Story","Title","Result","Date","Stability","Duration (s)"
"Buscar un producto y enviarlo al carrito de compras","Busqueda de producto con envio al carrito","SUCCESS","2023-07-01T12:21:29.800264-05:00[America/Bogota]","0.0","0.78"
"Buscar un producto y enviarlo al carrito de compras","Busqueda de producto con envio al carrito","SUCCESS","2023-07-01T14:26:30.683055-05:00[America/Bogota]","0.0","46.13"
